2022-01-30 00:56:52.471200 {"type":"join","timestamp":1643504212.4711967,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"2603:9000:7b01:119e:dd1f:140e:1e1:d0c9"},"content":null,"modes":[]}
2022-01-30 01:25:40.468200 {"type":"join","timestamp":1643505940.4681995,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"darkkirb","nickname":"darkkirb","username":"~darkkirb","name":"Charlotte \ud83e\udd9d","photo":null,"url":null,"tz":null,"host":"80.243.52.143"},"content":null,"modes":[]}
2022-01-30 02:10:30.479900 {"type":"join","timestamp":1643508630.4798534,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"hoenir","nickname":"hoenir","username":"discord","name":"discord","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:10:30.548900 {"type":"join","timestamp":1643508630.5488904,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"rattroupe[d]","nickname":"rattroupe[d]","username":"Khuforzu","name":"Khuforzu","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:10:31.821600 {"type":"join","timestamp":1643508631.8216383,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"shaunix[d]","nickname":"shaunix[d]","username":"shaunix","name":"shaunix","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:10:36.506200 {"type":"join","timestamp":1643508636.5061853,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Jeremiah[d]","nickname":"Jeremiah[d]","username":"Jeremiah","name":"Jeremiah","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:10:36.777600 {"type":"join","timestamp":1643508636.7775943,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Silicon[d]","nickname":"Silicon[d]","username":"Silicon","name":"Silicon","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:11:28.476600 {"type":"join","timestamp":1643508688.4765854,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"marksuth[d]","nickname":"marksuth[d]","username":"marksuth","name":"marksuth","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:18:28.469700 {"type":"join","timestamp":1643509108.4697394,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"aaronpk[d]","nickname":"aaronpk[d]","username":"aaronpk","name":"aaronpk","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:20:07.528500 {"type":"join","timestamp":1643509207.52853,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Myst[d]","nickname":"Myst[d]","username":"Myst","name":"Myst","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 02:36:13.166900 {"type":"join","timestamp":1643510173.166872,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2022-01-30 02:59:03.471800 {"type":"join","timestamp":1643511543.4718127,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"mossymaker[d]","nickname":"mossymaker[d]","username":"mossymaker","name":"mossymaker","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 04:27:21.252300 {"type":"join","timestamp":1643516841.2522933,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"diegov","nickname":"diegov","username":"~diegov","name":"@diegov:matrix.org","photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::103f"},"content":null,"modes":[]}
2022-01-30 04:27:21.258000 {"type":"join","timestamp":1643516841.25801,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"mambang[m]","nickname":"mambang[m]","username":"~mambang","name":"@mambang:matrix.org","photo":null,"url":null,"tz":null,"host":"user\/mambang"},"content":null,"modes":[]}
2022-01-30 04:27:33.654200 {"type":"join","timestamp":1643516853.6541958,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jamietanna[m]","nickname":"jamietanna[m]","username":"~jamietann","name":"@jamietanna:matrix.org","photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::30f0"},"content":null,"modes":[]}
2022-01-30 04:27:33.733600 {"type":"join","timestamp":1643516853.7335901,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"binyamin[m]","nickname":"binyamin[m]","username":"~binyamine","name":"@binyamin:envs.net","photo":null,"url":null,"tz":null,"host":"2001:470:69fc:105::1:18ca"},"content":null,"modes":[]}
2022-01-30 04:36:12.873000 {"type":"join","timestamp":1643517372.8730023,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Zegnat[d]","nickname":"Zegnat[d]","username":"martijnvdv","name":"martijnvdven","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 05:02:10.565700 {"type":"join","timestamp":1643518930.565726,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"aspenmayer[d]","nickname":"aspenmayer[d]","username":"aspenmayer","name":"aspenmayer","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 06:42:06.844700 {"type":"join","timestamp":1643524926.844659,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"angelo","nickname":"angelo","username":"~angelo","name":"Angelo Gladding","photo":null,"url":null,"tz":null,"host":"2600:1700:8780:c7c0:85dd:8193:899:2ad2"},"content":null,"modes":[]}
2022-01-30 07:10:19.572600 {"type":"join","timestamp":1643526619.5725589,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"balupton[d]","nickname":"balupton[d]","username":"balupton","name":"balupton","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 07:35:14.968800 {"type":"join","timestamp":1643528114.968837,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"daiyi[d]","nickname":"daiyi[d]","username":"daiyi","name":null,"photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 08:01:39.274500 {"type":"join","timestamp":1643529699.27451,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"capjamesg[d]","nickname":"capjamesg[d]","username":"capjamesg","name":"capjamesg","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 08:18:32.494700 {"type":"join","timestamp":1643530712.4947338,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"MarkJR84[d]","nickname":"MarkJR84[d]","username":"MarkJR84","name":"MarkJR84","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 10:21:52.852400 {"type":"join","timestamp":1643538112.8524325,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"corenominal[d]","nickname":"corenominal[d]","username":"corenomina","name":"corenominal","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 10:44:26.592500 {"type":"join","timestamp":1643539466.5925183,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Christian_Olivie","nickname":"Christian_Olivie","username":"colivier","name":"colivier","photo":null,"url":null,"tz":null,"host":"alia.petermolnar.eu"},"content":null,"modes":[]}
2022-01-30 11:11:21.637300 {"type":"join","timestamp":1643541081.637331,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"sknebel","nickname":"sknebel","username":"~quassel","name":"sknebel","photo":null,"url":"http:\/\/www.svenknebel.de","tz":"Europe\/Berlin","host":"v22016013254630973.happysrv.de"},"content":null,"modes":[]}
