2019-12-26 01:32:06.129300 {"type":"join","timestamp":1577323926.1293342,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"jjuran","nickname":"jjuran","username":"~jjuran","name":"Josh Juran","photo":"https:\/\/www.jjuran.org\/avatar.jpg","url":"http:\/\/jjuran.org","tz":"America\/New_York","host":"c-98-231-147-29.hsd1.md.comcast.net"},"content":null,"modes":[]}
2019-12-26 03:00:32.944700 {"type":"message","timestamp":1577329232.9447372,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[@ZipperHost] Marking up Drupal's Blog Posts for the IndieWeb | Agaric #indieweb https:\/\/agaric.coop\/blog\/marking-drupals-blog-posts-indieweb (https:\/\/twitter.com\/_\/status\/1210032593003003904)","modes":[]}
2019-12-26 03:13:39.249900 {"type":"join","timestamp":1577330019.2498877,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"aphelionzDiscord","nickname":"aphelionzDiscord","username":"disco7015","name":"@_discord_512702525883940885:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dformqdudptpyhju"},"content":null,"modes":[]}
2019-12-26 03:13:49.376500 {"type":"join","timestamp":1577330029.3765023,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"vasa|DappkitDisc","nickname":"vasa|DappkitDisc","username":"disco7840","name":"@_discord_607248758790422538:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-dlzbspbgnxfekvoc"},"content":null,"modes":[]}
2019-12-26 03:16:51.508600 {"type":"join","timestamp":1577330211.5086012,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"thienpowDiscord[","nickname":"thienpowDiscord[","username":"disco8579","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zqcpwmgjicnlhkak"},"content":null,"modes":[]}
2019-12-26 03:17:09.136400 {"type":"join","timestamp":1577330229.1363733,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"ShehabTweelDisco","nickname":"ShehabTweelDisco","username":"disco8646","name":"@_discord_403912514368438284:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vznqrpyeodkabafc"},"content":null,"modes":[]}
2019-12-26 03:18:33.317200 {"type":"join","timestamp":1577330313.3171911,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"koivunejDiscord[","nickname":"koivunejDiscord[","username":"disco8645","name":"@_discord_609654755786096652:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rhrptybecopjyrvv"},"content":null,"modes":[]}
2019-12-26 03:18:39.354700 {"type":"join","timestamp":1577330319.3547425,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"EKLynxDiscord[m4","nickname":"EKLynxDiscord[m4","username":"disco8540","name":"@_discord_487719415098638337:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rllkakqqpcqscvvt"},"content":null,"modes":[]}
2019-12-26 03:19:14.555600 {"type":"join","timestamp":1577330354.5555518,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"PeevesDiscord[m]","nickname":"PeevesDiscord[m]","username":"disco7044","name":"@_discord_119759813377916928:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mtvbhbqhxsjmqeub"},"content":null,"modes":[]}
2019-12-26 03:19:39.549500 {"type":"join","timestamp":1577330379.549545,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"pusherDiscord[m]","nickname":"pusherDiscord[m]","username":"disco7047","name":"@_discord_375869216340967424:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xrjgubnruwfmdzos"},"content":null,"modes":[]}
2019-12-26 03:21:28.524900 {"type":"join","timestamp":1577330488.524866,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"carsonfarmerDisc","nickname":"carsonfarmerDisc","username":"disco6643","name":"@_discord_499071680841252884:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jgsejixdgdqlcgeo"},"content":null,"modes":[]}
