2022-02-05 00:35:04.599200 {"type":"join","timestamp":1644021304.599171,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":"schmarty via slack-irc-gateway","photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2022-02-05 01:14:57.642800 {"type":"join","timestamp":1644023697.6428304,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mdemo","nickname":"mdemo","username":"~mdemo","name":"mdemo","photo":null,"url":null,"tz":null,"host":"user\/mdemo22"},"content":null,"modes":[]}
2022-02-05 01:26:03.544900 {"type":"join","timestamp":1644024363.544925,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"darkkirb","nickname":"darkkirb","username":"~darkkirb","name":"Charlotte \ud83e\udd9d","photo":null,"url":null,"tz":null,"host":"80.243.52.143"},"content":null,"modes":[]}
2022-02-05 02:05:40.526800 {"type":"join","timestamp":1644026740.5267506,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2022-02-05 02:15:43.639600 {"type":"join","timestamp":1644027343.6395562,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mdemo","nickname":"mdemo","username":"~mdemo","name":"mdemo","photo":null,"url":null,"tz":null,"host":"user\/mdemo22"},"content":null,"modes":[]}
2022-02-05 02:23:14.179300 {"type":"join","timestamp":1644027794.1793358,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2022-02-05 02:35:34.639200 {"type":"join","timestamp":1644028534.6392436,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2022-02-05 02:43:28.641500 {"type":"join","timestamp":1644029008.6415284,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy0","nickname":"Seirdy0","username":"~Seirdy","name":null,"photo":null,"url":null,"tz":null,"host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2022-02-05 02:47:30.552100 {"type":"join","timestamp":1644029250.5520606,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mdemo","nickname":"mdemo","username":"~mdemo","name":"mdemo","photo":null,"url":null,"tz":null,"host":"user\/mdemo22"},"content":null,"modes":[]}
2022-02-05 03:22:32.642000 {"type":"join","timestamp":1644031352.6420412,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"lanodan","nickname":"lanodan","username":"~lanodan","name":"lanodan","photo":"https:\/\/hacktivis.me\/images\/avatar.png","url":"http:\/\/hacktivis.me","tz":"Europe\/Paris","host":"2a01:e0a:d6:9930::35"},"content":null,"modes":[]}
2022-02-05 04:21:37.156600 {"type":"join","timestamp":1644034897.1566439,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"47.202.64.169"},"content":null,"modes":[]}
2022-02-05 04:31:01.603300 {"type":"join","timestamp":1644035461.6033084,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mdemo","nickname":"mdemo","username":"~mdemo","name":"mdemo","photo":null,"url":null,"tz":null,"host":"user\/mdemo22"},"content":null,"modes":[]}
2022-02-05 04:37:13.671100 {"type":"join","timestamp":1644035833.67105,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"47.202.64.169"},"content":null,"modes":[]}
2022-02-05 05:27:46.733700 {"type":"join","timestamp":1644038866.7337475,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2022-02-05 06:05:27.208800 {"type":"join","timestamp":1644041127.2088473,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jacky","nickname":"jacky","username":"~jacky","name":"Jacky Alcine","photo":"https:\/\/v2.jacky.wtf\/media\/profile-image","url":"http:\/\/jacky.wtf","tz":"America\/Los_Angeles","host":"47.202.64.169"},"content":null,"modes":[]}
