2019-11-05 00:19:14.163200 {"type":"join","timestamp":1572913154.1632,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"bekoDiscord[m]","nickname":"bekoDiscord[m]","username":"disco7656","name":"@_discord_296406134456320031:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-odiqkccnfyaljjrm"},"content":null,"modes":[]}
2019-11-05 00:25:54.106200 {"type":"join","timestamp":1572913554.1062,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dmcweeney","nickname":"dmcweeney","username":"~webuser","name":null,"photo":"http:\/\/drewmcweeney.com\/wp-content\/uploads\/2018\/12\/Drexel-University-Concert.jpg","url":"http:\/\/Drewmcweeney.com","tz":"USA\/Connecticut","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-11-05 01:07:17.726000 {"type":"join","timestamp":1572916037.726,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"HexDiscord[m]","nickname":"HexDiscord[m]","username":"disco_8451","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-squclufdamfhyqnj"},"content":null,"modes":[]}
2019-11-05 01:10:11.871900 {"type":"join","timestamp":1572916211.8719,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-11-05 01:10:34.579200 {"type":"join","timestamp":1572916234.5792,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-11-05 03:35:19.475700 {"type":"join","timestamp":1572924919.4757,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-11-05 05:24:31.592400 {"type":"join","timestamp":1572931471.5924,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"FordDiscord[m]","nickname":"FordDiscord[m]","username":"disco_8452","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wwadqlmtpxzufcuv"},"content":null,"modes":[]}
2019-11-05 06:47:12.055600 {"type":"leave","timestamp":1572936432.0556,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"FordDiscord[m]","nickname":"FordDiscord[m]","username":"disco_8452","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wwadqlmtpxzufcuv"},"content":null,"modes":[]}
2019-11-05 08:29:01.882700 {"type":"join","timestamp":1572942541.8827,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-11-05 09:16:09.493200 {"type":"join","timestamp":1572945369.4932,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"mapkyca_","nickname":"mapkyca_","username":"~mapkyca","name":null,"photo":null,"url":null,"tz":null,"host":"77.95.178.3"},"content":null,"modes":[]}
2019-11-05 10:11:24.461800 {"type":"join","timestamp":1572948684.4618,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
