2021-02-06 00:06:18.544700 {"type":"join","timestamp":1612569978.5446768,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":"chrisaldrich via slack-irc-gateway","photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-02-06 00:23:02.536900 {"type":"join","timestamp":1612570982.5368917,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"unaffiliated\/seekr"},"content":null,"modes":[]}
2021-02-06 00:42:15.574400 {"type":"join","timestamp":1612572135.574366,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[schmarty]1","nickname":"[schmarty]1","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-02-06 00:42:15.669600 {"type":"join","timestamp":1612572135.669626,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[KevinMarks]1","nickname":"[KevinMarks]1","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-02-06 00:47:17.577700 {"type":"join","timestamp":1612572437.5776799,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"unaffiliated\/seekr"},"content":null,"modes":[]}
2021-02-06 00:47:17.666500 {"type":"join","timestamp":1612572437.6664786,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"unaffiliated\/seekr"},"content":null,"modes":[]}
2021-02-06 01:33:47.714700 {"type":"join","timestamp":1612575227.7146797,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[tw2113_Slack_]","nickname":"[tw2113_Slack_]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-02-06 01:51:23.630100 {"type":"join","timestamp":1612576283.6300707,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"seekr","nickname":"seekr","username":"~seekr","name":"seekr","photo":null,"url":null,"tz":null,"host":"unaffiliated\/seekr"},"content":null,"modes":[]}
2021-02-06 01:58:26.622400 {"type":"join","timestamp":1612576706.6223698,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[Tim_Nolte]","nickname":"[Tim_Nolte]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-02-06 05:29:08.746700 {"type":"join","timestamp":1612589348.7467322,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dagelf","nickname":"dagelf","username":"~quassel","name":"dagelf","photo":null,"url":null,"tz":null,"host":"dsl-197-245-56-35.voxdsl.co.za"},"content":null,"modes":[]}
2021-02-06 08:32:34.239100 {"type":"join","timestamp":1612600354.239092,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"niceplace","nickname":"niceplace","username":"~nplace","name":"nplace","photo":null,"url":null,"tz":null,"host":"titan.pathogen.is"},"content":null,"modes":[]}
