2020-09-30 00:10:13.299300 {"type":"join","timestamp":1601424613.2993407,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-30 00:15:28.124800 {"type":"join","timestamp":1601424928.124798,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"cat1","nickname":"cat1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-30 00:47:30.093900 {"type":"join","timestamp":1601426850.0939393,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[catvscode]","nickname":"[catvscode]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-30 00:51:50.363100 {"type":"join","timestamp":1601427110.3630779,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-30 01:25:39.067900 {"type":"join","timestamp":1601429139.0679066,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"chmanieDiscord[m","nickname":"chmanieDiscord[m","username":"disco7258","name":"@_discord_205028639492931584:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-rvbkhkmvwkonfjmb"},"content":null,"modes":[]}
2020-09-30 01:25:53.346000 {"type":"join","timestamp":1601429153.3460383,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"DreamingInCodeDi","nickname":"DreamingInCodeDi","username":"disco9849","name":"@_discord_582338118250659847:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gyxvcefwnhvevdyl"},"content":null,"modes":[]}
2020-09-30 01:27:21.775000 {"type":"join","timestamp":1601429241.775007,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"JohnnyMilkshakes","nickname":"JohnnyMilkshakes","username":"disco7092","name":"@_discord_400687334858686474:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zbpyjptxijsegahj"},"content":null,"modes":[]}
2020-09-30 01:27:25.740900 {"type":"join","timestamp":1601429245.7409189,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"koivunejDiscord[","nickname":"koivunejDiscord[","username":"disco8645","name":"@_discord_609654755786096652:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-irficapzbqsusgiy"},"content":null,"modes":[]}
2020-09-30 01:27:41.490900 {"type":"join","timestamp":1601429261.4909403,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"M0zAND1zDiscord[","nickname":"M0zAND1zDiscord[","username":"disco8362","name":"@_discord_490583831108386846:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-tqfqrwabdlgxjqqh"},"content":null,"modes":[]}
2020-09-30 01:27:42.650600 {"type":"join","timestamp":1601429262.6505635,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"sp[m]","nickname":"sp[m]","username":"spsrknorg","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-cnhyrlmajoayhpvw"},"content":null,"modes":[]}
2020-09-30 01:27:51.007400 {"type":"join","timestamp":1601429271.007383,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"gmelodieDiscord[","nickname":"gmelodieDiscord[","username":"disco7831","name":"@_discord_334042575704948737:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mpqbpifoehfexxev"},"content":null,"modes":[]}
2020-09-30 01:27:51.309500 {"type":"join","timestamp":1601429271.3095381,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"sblinnDiscord[m]","nickname":"sblinnDiscord[m]","username":"disco7356","name":"@_discord_598562282984701952:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-lfxmtpfyrfmtzdjp"},"content":null,"modes":[]}
2020-09-30 01:27:52.669800 {"type":"join","timestamp":1601429272.6697967,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jenncloudDiscord","nickname":"jenncloudDiscord","username":"disco7175","name":"@_discord_387416548018749440:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gbqzghsfucpfyazj"},"content":null,"modes":[]}
2020-09-30 01:27:53.191600 {"type":"join","timestamp":1601429273.1915708,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"wossDiscord[m]1","nickname":"wossDiscord[m]1","username":"disco9569","name":"@_discord_558599201362149386:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-eqkmzdstfjbflaql"},"content":null,"modes":[]}
2020-09-30 01:27:53.653900 {"type":"join","timestamp":1601429273.6538565,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"celsoDiscord[m]1","nickname":"celsoDiscord[m]1","username":"disco7230","name":"@_discord_327775979860918275:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wuhhpxxtquljkmjo"},"content":null,"modes":[]}
2020-09-30 01:27:54.187200 {"type":"join","timestamp":1601429274.1871955,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"dqxDiscord[m]","nickname":"dqxDiscord[m]","username":"disco6588","name":"@_discord_383044228680515587:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-xoztzptbxekbdvjb"},"content":null,"modes":[]}
2020-09-30 01:27:55.688900 {"type":"join","timestamp":1601429275.6889093,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"TrevorDiscord[m4","nickname":"TrevorDiscord[m4","username":"disco8439","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vquwpcurhbeaqsao"},"content":null,"modes":[]}
2020-09-30 01:28:40.134700 {"type":"join","timestamp":1601429320.1347046,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"drshamoonDiscord","nickname":"drshamoonDiscord","username":"disco7167","name":"@_discord_402200697988448286:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-eaipkpyodywuwntr"},"content":null,"modes":[]}
2020-09-30 01:28:43.711500 {"type":"join","timestamp":1601429323.7114723,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"gauthamDiscord[4","nickname":"gauthamDiscord[4","username":"discord633","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gxpcmsrydpybgdye"},"content":null,"modes":[]}
2020-09-30 01:28:44.684700 {"type":"join","timestamp":1601429324.6847332,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"sachaDiscord[m]","nickname":"sachaDiscord[m]","username":"disco7215","name":"@_discord_316862566473400331:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-wcffsxkiunxvbsei"},"content":null,"modes":[]}
2020-09-30 01:28:49.114900 {"type":"join","timestamp":1601429329.1149092,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"RodolfoEDiscord4","nickname":"RodolfoEDiscord4","username":"disco7833","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ezmtqhhzirmrobfv"},"content":null,"modes":[]}
2020-09-30 01:28:49.342500 {"type":"join","timestamp":1601429329.3424716,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"freekurt","nickname":"freekurt","username":"freekurtma","name":"@freekurt:matrix.org","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-mcvsvhxqrdvwqmnq"},"content":null,"modes":[]}
2020-09-30 01:28:56.003900 {"type":"join","timestamp":1601429336.003872,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"|NecoDiscord[m]","nickname":"|NecoDiscord[m]","username":"disco7931","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-bbrgyxbwnjmfpcvk"},"content":null,"modes":[]}
2020-09-30 01:28:56.528000 {"type":"join","timestamp":1601429336.527992,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jimpickDiscord[m","nickname":"jimpickDiscord[m","username":"disco7145","name":"@_discord_418195734320381952:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zdzuofqztlzndrlz"},"content":null,"modes":[]}
2020-09-30 01:28:56.819400 {"type":"join","timestamp":1601429336.8194265,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"RichardLittDisco","nickname":"RichardLittDisco","username":"disco7370","name":"@_discord_478226376068169753:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qruycfminyiguhdo"},"content":null,"modes":[]}
2020-09-30 01:28:57.120900 {"type":"join","timestamp":1601429337.1208968,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"MissLavenderDisc","nickname":"MissLavenderDisc","username":"disco8363","name":"@_discord_109409377684848640:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zhrrfjkoggkzrvzv"},"content":null,"modes":[]}
2020-09-30 01:28:57.429700 {"type":"join","timestamp":1601429337.429707,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"CyOp0x00Discord[","nickname":"CyOp0x00Discord[","username":"disco9455","name":"@_discord_408306212179017739:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-qjtaaihpypgxxaow"},"content":null,"modes":[]}
2020-09-30 01:28:58.099700 {"type":"join","timestamp":1601429338.0996945,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"simibacDiscord[m","nickname":"simibacDiscord[m","username":"disco8811","name":"@_discord_389901855708151808:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-fxhvjkdvrnmdvyvv"},"content":null,"modes":[]}
2020-09-30 01:28:58.316700 {"type":"join","timestamp":1601429338.3166995,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"jazzy-jeff^_^Di4","nickname":"jazzy-jeff^_^Di4","username":"disco7190","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vekstahvfcthrljw"},"content":null,"modes":[]}
2020-09-30 01:28:58.317400 {"type":"join","timestamp":1601429338.3173954,"network":"irc","server":"freenode","channel":{"uid":"#knownchat","name":"#knownchat"},"author":{"uid":"Elijah3321[m]","nickname":"Elijah3321[m]","username":"disco8851","name":"@_discord_604280072513388544:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-gypxhvwkkcnghwns"},"content":null,"modes":[]}
