2020-09-12 02:28:59.122900 {"type":"join","timestamp":1599877739.1228752,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-12 03:33:31.391200 {"type":"message","timestamp":1599881611.3911974,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u0003072020\/Pop-ups\/Microformats\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=72598&oldid=72330&rcid=72474\u0003 \u00035*\u0003 \u000303David.shanske.com\u0003 \u00035*\u0003 (+102) \u000310\/* h-feed *\/\u0003\n","modes":[]}
2020-09-12 03:37:32.686100 {"type":"join","timestamp":1599881852.686118,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"nickodd","nickname":"nickodd","username":"~nickodd","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/nickodd"},"content":null,"modes":[]}
2020-09-12 03:52:06.763700 {"type":"message","timestamp":1599882726.763662,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":"US\/Pacific","host":null},"content":"\u000314[[\u0003072020\/Pop-ups\/Microformats\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=72599&oldid=72598&rcid=72475\u0003 \u00035*\u0003 \u000303David.shanske.com\u0003 \u00035*\u0003 (+3) \u000310\/* h-entry *\/\u0003\n","modes":[]}
2020-09-12 04:14:07.181400 {"type":"message","timestamp":1599884047.1813757,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u0003072020\/Pop-ups\/Microformats\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=72601&oldid=72599&rcid=72477\u0003 \u00035*\u0003 \u000303David.shanske.com\u0003 \u00035*\u0003 (+63) \u000310\/* h-entry *\/\u0003\n","modes":[]}
2020-09-12 04:28:04.596100 {"type":"join","timestamp":1599884884.5960565,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-12 04:40:51.299900 {"type":"message","timestamp":1599885651.299929,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u0003072020\/Pop-ups\/Microformats\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=72602&oldid=72601&rcid=72478\u0003 \u00035*\u0003 \u000303David.shanske.com\u0003 \u00035*\u0003 (+78) \u000310\/* h-event *\/\u0003\n","modes":[]}
2020-09-12 05:26:38.592300 {"type":"message","timestamp":1599888398.5923438,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"\u000314[[\u0003072020\/Pop-ups\/Microformats\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=72603&oldid=72602&rcid=72479\u0003 \u00035*\u0003 \u000303David.shanske.com\u0003 \u00035*\u0003 (-78) \u000310\/* h-event *\/\u0003\n","modes":[]}
2020-09-12 05:55:58.119700 {"type":"join","timestamp":1599890158.1197345,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[James_Gallaghe]","nickname":"[James_Gallaghe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2020-09-12 05:55:58.755900 {"type":"message","timestamp":1599890158.7558897,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[James_Gallaghe]","nickname":"[James_Gallaghe]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"[tantek] Thanks \ud83d\ude42","modes":["voice"]}
2020-09-12 06:02:07.152900 {"type":"message","timestamp":1599890527.1528718,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"\u000314[[\u000307podcast\u000314]]\u00034 !\u000310 \u000302https:\/\/indieweb.org\/wiki\/index.php?diff=72604&oldid=72557&rcid=72480\u0003 \u00035*\u0003 \u000303David.shanske.com\u0003 \u00035*\u0003 (+26) \u000310\/* Brainstorming *\/\u0003\n","modes":[]}
