2018-09-18 00:09:50.691300 {"type":"join","timestamp":1537229390.6913,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT"},"content":null,"modes":[]}
2018-09-18 00:13:19.070300 {"type":"join","timestamp":1537229599.0703,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"iasai","nickname":"iasai","username":"~iasai","name":"iasai","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-18 00:36:23.471600 {"type":"join","timestamp":1537230983.4716,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[kevinmarks]","nickname":"[kevinmarks]","username":"~slackuser","name":null,"photo":"http:\/\/www.kevinmarks.com\/km.jpg","url":"http:\/\/kevinmarks.com","tz":"Europe\/London"},"content":null,"modes":[]}
2018-09-18 00:45:55.341500 {"type":"join","timestamp":1537231555.3415,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jjuran","nickname":"jjuran","username":"~jjuran","name":null,"photo":"https:\/\/www.jjuran.org\/avatar.jpg","url":"http:\/\/jjuran.org","tz":"US\/Eastern"},"content":null,"modes":[]}
2018-09-18 00:49:25.019900 {"type":"message","timestamp":1537231765.0199,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"[@jgmac1106] I also finished _Kill Process_ this summer by William Hertling. As an author he sits high on my pantheon of\u00a0 techno-thriller writers, and that was before I knew Hertling embraced the #IndieWeb (more on this later).\n\nIn the first works I read Hertling\u2019s\u00a0\u2026 http:\/\/jgregorymcverry.com\/6992-2\/ (http:\/\/twtr.io\/1iNuwVH5Bxs)","modes":[]}
2018-09-18 01:20:45.934400 {"type":"join","timestamp":1537233645.9344,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"renem","nickname":"renem","username":"~renem","name":null,"photo":"https:\/\/renem.net\/assets\/renem_profile.png","url":"http:\/\/renem.net","tz":"Europe\/Berlin"},"content":null,"modes":[]}
2018-09-18 01:34:25.388300 {"type":"join","timestamp":1537234465.3883,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JasonO","nickname":"JasonO","username":"~jason","name":"Jason","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-18 02:10:57.951100 {"type":"join","timestamp":1537236657.9511,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"leg","nickname":"leg","username":"~jorge","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-18 02:19:10.592100 {"type":"join","timestamp":1537237150.5921,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Balaji030698","nickname":"Balaji030698","username":"~Balaji030","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-18 03:30:47.360600 {"type":"join","timestamp":1537241447.3606,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"iasai","nickname":"iasai","username":"~iasai","name":"iasai","photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-09-18 03:38:53.977400 {"type":"join","timestamp":1537241933.9774,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jjuran","nickname":"jjuran","username":"~jjuran","name":null,"photo":"https:\/\/www.jjuran.org\/avatar.jpg","url":"http:\/\/jjuran.org","tz":"US\/Eastern"},"content":null,"modes":[]}
