2021-09-26 00:18:51.741600 {"type":"join","timestamp":1632615531.7415767,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy","nickname":"Seirdy","username":"~Seirdy","name":"Seirdy","photo":"https:\/\/seirdy.one\/favicon.png","url":"http:\/\/seirdy.one","tz":"America\/Los_Angeles","host":"sourcehut\/user\/seirdy"},"content":null,"modes":[]}
2021-09-26 02:09:24.061700 {"type":"join","timestamp":1632622164.0616555,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Moosadee","nickname":"Moosadee","username":"~Moosadee","name":"Rachel","photo":null,"url":null,"tz":null,"host":"136.32.155.193"},"content":null,"modes":[]}
2021-09-26 02:10:40.751000 {"type":"join","timestamp":1632622240.7509704,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Moosadee","nickname":"Moosadee","username":"~Moosadee","name":"Rachel","photo":null,"url":null,"tz":null,"host":"136.32.155.193"},"content":null,"modes":[]}
2021-09-26 02:54:25.584900 {"type":"message","timestamp":1632624865.5849261,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Lars1","nickname":"Lars1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"petermolnar++ (re https:\/\/chat.indieweb.org\/2021-09-23#t1632394900577700)","modes":["voice"]}
2021-09-26 02:54:25.979400 {"type":"message","timestamp":1632624865.9793684,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"petermolnar has 7 karma in this channel over the last year (32 in all channels)","modes":[]}
2021-09-26 02:54:32.937700 {"type":"message","timestamp":1632624872.937685,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"America\/Los_Angeles","host":null},"content":"[petermolnar] for someone who lived through the web 2.0 craze and believed it will bring goodness, only to see the walled app world to emerge from it, I don't get good vibes from the term web 3.0.","modes":[]}
2021-09-26 02:59:48.712600 {"type":"join","timestamp":1632625188.7125888,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"hendursaga","nickname":"hendursaga","username":"~weechat","name":"weechat","photo":null,"url":null,"tz":null,"host":"user\/hendursaga"},"content":null,"modes":[]}
2021-09-26 04:57:31.603200 {"type":"join","timestamp":1632632251.603198,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mambang[m]","nickname":"mambang[m]","username":"~mambang","name":null,"photo":null,"url":null,"tz":null,"host":"user\/mambang"},"content":null,"modes":[]}
2021-09-26 04:59:16.633400 {"type":"message","timestamp":1632632356.6334445,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"mambang[m]","nickname":"mambang[m]","username":"~mambang","name":null,"photo":null,"url":null,"tz":null,"host":"user\/mambang"},"content":"Hello everyone","modes":[]}
2021-09-26 05:13:00.544900 {"type":"join","timestamp":1632633180.5448592,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tw2113_Slack_]","nickname":"[tw2113_Slack_]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":null,"modes":[]}
2021-09-26 05:13:00.896000 {"type":"message","timestamp":1632633180.8960085,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tw2113_Slack_]","nickname":"[tw2113_Slack_]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"li826-110.members.linode.com"},"content":"[chrisaldrich] was it recorded at all? I had to miss for personal reasons and the like","modes":["voice"]}
2021-09-26 05:54:12.696100 {"type":"join","timestamp":1632635652.696113,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"ShinyCyril","nickname":"ShinyCyril","username":"~ShinyCyri","name":null,"photo":null,"url":null,"tz":null,"host":"209.104.70.126"},"content":null,"modes":[]}
2021-09-26 05:55:38.379600 {"type":"message","timestamp":1632635738.3796217,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG - ZNC","photo":"https:\/\/david.shanske.com\/wp-content\/uploads\/avatar-privacy\/cache\/gravatar\/2\/c\/2cb1f8afd9c8d3b646b4071c5ed887c970d81d625eeed87e447706940e2c403d-96.png","url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"[tw2113_Slack_]: I uploaded it","modes":["voice"]}
