2019-05-16 00:06:39.347000 {"type":"join","timestamp":1557965199.347,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"DenSchub","nickname":"DenSchub","username":"~DenSchub","name":"Dennis Schubert","photo":null,"url":null,"tz":null,"host":"telegraph.0b101010.org"},"content":null,"modes":[]}
2019-05-16 00:10:34.139600 {"type":"join","timestamp":1557965434.1396,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-05-16 01:38:49.390400 {"type":"join","timestamp":1557970729.3904,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jnoh","nickname":"jnoh","username":"~jnoh","name":"jnoh","photo":"https:\/\/jnoh.net\/avatar.jpeg","url":"http:\/\/jnoh.net","tz":"America\/San_Francisco","host":"107-223-9-150.lightspeed.sntcca.sbcglobal.net"},"content":null,"modes":[]}
2019-05-16 01:55:44.620400 {"type":"join","timestamp":1557971744.6204,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-05-16 02:36:28.767300 {"type":"join","timestamp":1557974188.7673,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"pd09041999","nickname":"pd09041999","username":"~pd0904199","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/pd09041999"},"content":null,"modes":[]}
2019-05-16 02:46:07.916300 {"type":"join","timestamp":1557974767.9163,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jnoh","nickname":"jnoh","username":"~jnoh","name":"jnoh","photo":"https:\/\/jnoh.net\/avatar.jpeg","url":"http:\/\/jnoh.net","tz":"America\/San_Francisco","host":"107-223-9-150.lightspeed.sntcca.sbcglobal.net"},"content":null,"modes":[]}
2019-05-16 03:10:03.272800 {"type":"join","timestamp":1557976203.2728,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-05-16 03:10:08.459600 {"type":"message","timestamp":1557976208.4596,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"sorry, running a few minutes late vHWC starting momentarily...","modes":[]}
2019-05-16 03:11:33.132000 {"type":"join","timestamp":1557976293.132,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-05-16 03:13:19.638200 {"type":"message","timestamp":1557976399.6382,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"Here's the link to the Hangout: https:\/\/hangouts.google.com\/call\/u2lzmF040fc-mOepgfUOAEEE","modes":["voice"]}
2019-05-16 03:14:08.504800 {"type":"message","timestamp":1557976448.5048,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"https:\/\/www.boffosocko.com\/logo.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"or has gRegorLove beat me to it???","modes":["voice"]}
2019-05-16 03:14:23.729600 {"type":"message","timestamp":1557976463.7296,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"ip174-65-16-66.sd.sd.cox.net"},"content":"I have :) It's in meta","modes":[]}
2019-05-16 03:14:27.627600 {"type":"message","timestamp":1557976467.6276,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"ip174-65-16-66.sd.sd.cox.net"},"content":"GWG and I are on","modes":["voice"]}
2019-05-16 03:16:55.476500 {"type":"message","timestamp":1557976615.4765,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gRegorLove","nickname":"gRegorLove","username":"~gRegorLov","name":null,"photo":"https:\/\/gregorlove.com\/site\/assets\/files\/3473\/profile-2016-med.jpg","url":"http:\/\/gregorlove.com","tz":"America\/Los_Angeles","host":"ip174-65-16-66.sd.sd.cox.net"},"content":"We're on https:\/\/hangouts.google.com\/call\/MANr-n5uNBrCMDXV9g3WAEEE","modes":["voice"]}
2019-05-16 03:25:37.895000 {"type":"join","timestamp":1557977137.895,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-05-16 03:29:48.053000 {"type":"join","timestamp":1557977388.053,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-05-16 03:43:51.542800 {"type":"join","timestamp":1557978231.5428,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","username":"~Adium","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"c-67-188-147-93.hsd1.ca.comcast.net"},"content":null,"modes":[]}
2019-05-16 04:02:25.920700 {"type":"join","timestamp":1557979345.9207,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","username":"~Adium","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"c-67-188-147-93.hsd1.ca.comcast.net"},"content":null,"modes":[]}
2019-05-16 04:05:12.717100 {"type":"join","timestamp":1557979512.7171,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","username":"~Adium","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"c-67-188-147-93.hsd1.ca.comcast.net"},"content":null,"modes":[]}
2019-05-16 04:54:42.700100 {"type":"join","timestamp":1557982482.7001,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"snarfed","nickname":"snarfed","username":"~Adium","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"c-67-188-147-93.hsd1.ca.comcast.net"},"content":null,"modes":[]}
