2021-04-04 00:44:32.603300 {"type":"join","timestamp":1617497072.603335,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[scojjac]","nickname":"[scojjac]","username":"~slackuser","name":"scojjac via slack-irc-gateway","photo":"https:\/\/scojjac.com\/wp-content\/uploads\/2021\/02\/cropped-cropped-cropped-1DBFAD2C-441B-46F1-B81E-51C593CE9BF4.jpeg","url":"http:\/\/scojjac.com","tz":"US\/Eastern","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-04-04 01:23:03.974400 {"type":"join","timestamp":1617499383.9744446,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy0","nickname":"Seirdy0","username":"~Seirdy","name":null,"photo":null,"url":null,"tz":null,"host":"2600:1700:ccd0:7890::31"},"content":null,"modes":[]}
2021-04-04 01:30:09.732600 {"type":"join","timestamp":1617499809.7325683,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-04-04 02:10:40.047700 {"type":"join","timestamp":1617502240.0476692,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sumner","nickname":"sumner","username":"~sumner","name":"Sumner Evans","photo":null,"url":null,"tz":null,"host":"li530-74.members.linode.com"},"content":null,"modes":[]}
2021-04-04 02:25:04.057800 {"type":"join","timestamp":1617503104.057785,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"patcoll","nickname":"patcoll","username":"pat","name":"Patrick Collins","photo":null,"url":null,"tz":null,"host":"arcalogic.com"},"content":null,"modes":[]}
2021-04-04 02:25:05.797700 {"type":"join","timestamp":1617503105.7976565,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"petermolnar_","nickname":"petermolnar_","username":"~mail","name":"Peter Molnar","photo":"https:\/\/petermolnar.net\/favicon.png","url":"http:\/\/petermolnar.net","tz":"Europe\/London","host":"akasha.petermolnar.eu"},"content":null,"modes":[]}
2021-04-04 02:25:12.951600 {"type":"join","timestamp":1617503112.9515703,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"reidab","nickname":"reidab","username":"~reidab","name":"Reid Beels","photo":null,"url":null,"tz":null,"host":"198.199.114.143"},"content":null,"modes":[]}
2021-04-04 02:25:14.254400 {"type":"join","timestamp":1617503114.2543597,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"ramsey","nickname":"ramsey","username":"sid29832","name":"Ben Ramsey","photo":null,"url":null,"tz":null,"host":"gateway\/web\/irccloud.com\/x-uxlttgknarnjfkgx"},"content":null,"modes":[]}
2021-04-04 02:25:15.601300 {"type":"join","timestamp":1617503115.601312,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"apophys","nickname":"apophys","username":"~MK","name":"MK","photo":null,"url":null,"tz":null,"host":"kubikmilan.sk"},"content":null,"modes":[]}
2021-04-04 02:28:42.223300 {"type":"join","timestamp":1617503322.2232974,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"njd","nickname":"njd","username":"~njd","name":"njd","photo":null,"url":null,"tz":null,"host":"159.65.3.79"},"content":null,"modes":[]}
2021-04-04 02:28:48.558200 {"type":"join","timestamp":1617503328.5581884,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Bitweasil","nickname":"Bitweasil","username":"~bitweasil","name":"Bittius Veaselton","photo":null,"url":null,"tz":null,"host":"36.73.225.35.bc.googleusercontent.com"},"content":null,"modes":[]}
2021-04-04 03:23:19.748400 {"type":"join","timestamp":1617506599.748414,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sumner","nickname":"sumner","username":"~sumner","name":"Sumner Evans","photo":null,"url":null,"tz":null,"host":"li530-74.members.linode.com"},"content":null,"modes":[]}
2021-04-04 04:07:54.850500 {"type":"join","timestamp":1617509274.8505077,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KempfCreative","nickname":"KempfCreative","username":"Thunderbir","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/vpn\/privateinternetaccess\/kempfcreative"},"content":null,"modes":[]}
2021-04-04 04:18:25.279900 {"type":"join","timestamp":1617509905.2798557,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-04-04 04:18:26.148300 {"type":"message","timestamp":1617509906.1483464,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":"snarfed via slack-irc-gateway","photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"just fyi all, i\u2019m making bridgy and bridgy fed verify SSL certs (more) on webmention sending and endpoint discovery. if you stop getting wms, check that your site\u2019s cert is ok","modes":["voice"]}
2021-04-04 05:41:29.768100 {"type":"join","timestamp":1617514889.7680979,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jeremycherfas]","nickname":"[jeremycherfas]","username":"~slackuser","name":null,"photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-04-04 06:35:36.780000 {"type":"join","timestamp":1617518136.7799916,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Seirdy0","nickname":"Seirdy0","username":"~Seirdy","name":null,"photo":null,"url":null,"tz":null,"host":"2600:1700:ccd0:7890::3d"},"content":null,"modes":[]}
2021-04-04 06:36:43.923300 {"type":"join","timestamp":1617518203.923317,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"tomlarkworthy","nickname":"tomlarkworthy","username":"~webuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2021-04-04 07:12:24.544900 {"type":"join","timestamp":1617520344.5449018,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"obensource","nickname":"obensource","username":"~obensourc","name":"Ben Michel","photo":null,"url":null,"tz":null,"host":"97-120-223-18.ptld.qwest.net"},"content":null,"modes":[]}
2021-04-04 08:49:29.717500 {"type":"join","timestamp":1617526169.7174554,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"opal","nickname":"opal","username":"~wowaname","name":"opal hart <wowaname@volatile.bz>","photo":null,"url":null,"tz":null,"host":"volatile\/founder\/wowaname"},"content":null,"modes":[]}
2021-04-04 09:20:00.108100 {"type":"join","timestamp":1617528000.1081016,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"schmudde","nickname":"schmudde","username":"~schmudde","name":"D. Schmudde","photo":null,"url":null,"tz":null,"host":"93-35-164-242.ip55.fastwebnet.it"},"content":null,"modes":[]}
2021-04-04 09:58:54.016900 {"type":"join","timestamp":1617530334.0168672,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"dhanesh","nickname":"dhanesh","username":"~Dhanesh","name":null,"photo":null,"url":null,"tz":null,"host":"117.195.23.52"},"content":null,"modes":[]}
