2018-05-04 00:04:03.030500 {"type":"join","timestamp":1525392243.0305,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[miklb]","nickname":"[miklb]","username":"~slackuser","name":null,"photo":"http:\/\/cdn.miklb.com\/images\/profile_4_16.jpg","url":"http:\/\/miklb.com","tz":"America\/New_York"},"content":null,"modes":[]}
2018-05-04 00:14:49.591500 {"type":"message","timestamp":1525392889.5915,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"[superfeedr] \"GDPR and the IndieWeb\" by Kh\u00fcrt Williams  on 2018-05-02 http:\/\/104.236.229.226\/gdpr-and-the-indieweb\/","modes":[]}
2018-05-04 00:16:06.990200 {"type":"join","timestamp":1525392966.9902,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"[chrisaldrich]","nickname":"[chrisaldrich]","username":"~slackuser","name":null,"photo":"http:\/\/stream.boffosocko.com\/file\/600427b81f7785e704eadfe511a9270f\/thumb.jpg","url":"http:\/\/boffosocko.com","tz":"America\/Los_Angeles"},"content":null,"modes":[]}
2018-05-04 00:16:40.186200 {"type":"join","timestamp":1525393000.1862,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"tantek","nickname":"tantek","username":"~tantek","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-05-04 00:30:43.473800 {"type":"join","timestamp":1525393843.4738,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"eli_oat","nickname":"eli_oat","username":"~Adium","name":null,"photo":"http:\/\/eli.li\/imgs\/1.jpg","url":"http:\/\/eli.li","tz":"America\/New_York"},"content":null,"modes":[]}
2018-05-04 00:44:33.055200 {"type":"message","timestamp":1525394673.0552,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"[superfeedr] \"human beings\" by Kh\u00fcrt Williams  on 2018-05-04 http:\/\/104.236.229.226\/human-beings\/","modes":[]}
2018-05-04 00:47:29.670600 {"type":"message","timestamp":1525394849.6706,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null},"content":"[superfeedr] \"Indieweb und die DSGVO\" by rene@renem.net (Ren\u00e9)  on 2018-05-03 https:\/\/renem.net\/post\/2018-05-03-indieweb-dsgvo\/","modes":[]}
2018-05-04 00:52:39.837500 {"type":"message","timestamp":1525395159.8375,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":"http:\/\/loqi.me\/logo\/loqisaur.png","url":"http:\/\/loqi.me","tz":"US\/Pacific"},"content":"[superfeedr] \"Cool Things You Can Do On Drafts 5\" by post.txt  on 2018-04-18 https:\/\/tracking.feedpress.it\/link\/18293\/9041708","modes":[]}
2018-05-04 01:00:08.761000 {"type":"join","timestamp":1525395608.761,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"steph1","nickname":"steph1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
2018-05-04 01:37:19.784800 {"type":"join","timestamp":1525397839.7848,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"eli_oat","nickname":"eli_oat","username":"~Adium","name":null,"photo":"http:\/\/eli.li\/imgs\/1.jpg","url":"http:\/\/eli.li","tz":"America\/New_York"},"content":null,"modes":[]}
2018-05-04 02:17:48.780800 {"type":"join","timestamp":1525400268.7808,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"eli_oat","nickname":"eli_oat","username":"~Adium","name":null,"photo":"http:\/\/eli.li\/imgs\/1.jpg","url":"http:\/\/eli.li","tz":"America\/New_York"},"content":null,"modes":[]}
2018-05-04 02:21:24.986900 {"type":"join","timestamp":1525400484.9869,"network":"irc","server":"freenode","channel":{"uid":"#indieweb-meta","name":"#indieweb-meta"},"author":{"uid":"steph1","nickname":"steph1","username":"~webuser","name":null,"photo":null,"url":null,"tz":null},"content":null,"modes":[]}
